user_country,friend_country,user_region,friend_region,scaled_sci
ES,DE,ES24,DE94,1200
DE,ES,DE94,ES24,1200
GR,AT,EL63,AT21,1496
AT,GR,AT21,EL63,1496
LU,GR,LU00,EL51,5493
GR,LU,EL51,LU00,5493
TR,HU,TR31,HU11,436
HU,TR,HU11,TR31,436
GR,DE,EL54,DE91,7470
DE,GR,DE91,EL54,7470
FR,DE,FRC1,DE91,764
DE,FR,DE91,FRC1,764
DE,BG,DEB2,BG42,6019
BG,DE,BG42,DEB2,6019
IT,BG,ITF4,BG32,838
BG,IT,BG32,ITF4,838
ES,BG,ES42,BG32,1515
BG,ES,BG32,ES42,1515
SE,RS,SE21,RS12,5054
RS,SE,RS12,SE21,5054
PL,DE,PL52,DE80,3256
DE,PL,DE80,PL52,3256
HU,BE,HU22,BE32,294
BE,HU,BE32,HU22,294
RO,PL,RO22,PL42,413
PL,RO,PL42,RO22,413
IT,CZ,ITI1,CZ07,543
CZ,IT,CZ07,ITI1,543
NL,CZ,NL23,CZ07,804
CZ,NL,CZ07,NL23,804
ES,CZ,ES52,CZ07,516
CZ,ES,CZ07,ES52,516
SE,CZ,SE23,CZ07,407
CZ,SE,CZ07,SE23,407
FR,BE,FRL0,BE21,2397
BE,FR,BE21,FRL0,2397
RS,RO,RS12,RO32,1460
RO,RS,RO32,RS12,1460
RO,RO,RO42,RO32,176580
RO,RO,RO32,RO42,176580
SK,DE,SK04,DEG0,3648
DE,SK,DEG0,SK04,3648
SK,NO,SK03,NO07,1501
NO,SK,NO07,SK03,1501
RS,CH,RS22,CH03,29312
CH,RS,CH03,RS22,29312
FR,ES,FRF2,ES51,1130
ES,FR,ES51,FRF2,1130
PL,ES,PL22,ES51,645
ES,PL,ES51,PL22,645
IT,GR,ITC3,EL64,2334
GR,IT,EL64,ITC3,2334
FR,DE,FRF2,DE22,528
DE,FR,DE22,FRF2,528
RS,BE,RS11,BE31,852
BE,RS,BE31,RS11,852
FR,BE,FRY4,BE31,8816
BE,FR,BE31,FRY4,8816
TR,BE,TR90,BE33,1256
BE,TR,BE33,TR90,1256
XK,DE,XK00,DEA3,19420
DE,XK,DEA3,XK00,19420
DE,DE,DEE0,DEA3,21836
DE,DE,DEA3,DEE0,21836
DE,AT,DE94,AT12,7559
AT,DE,AT12,DE94,7559
AT,AT,AT12,AT12,4872358
PL,ES,PL62,ES24,537
ES,PL,ES24,PL62,537
HR,ES,HR06,ES24,298
ES,HR,ES24,HR06,298
TR,PT,TR33,PT20,46
PT,TR,PT20,TR33,46
IE,FR,IE05,FRI1,964
FR,IE,FRI1,IE05,964
IT,FR,ITC3,FRI1,1416
FR,IT,FRI1,ITC3,1416
PT,IT,PT1A,ITH1,1766
IT,PT,ITH1,PT1A,1766
IT,DE,ITI1,DEA5,1720
DE,IT,DEA5,ITI1,1720
XK,RO,XK00,RO31,672
RO,XK,RO31,XK00,672
SE,RO,SE32,RO31,668
RO,SE,RO31,SE32,668
HU,HR,HU21,HR05,1142
HR,HU,HR05,HU21,1142
GR,BE,EL61,BE23,1212
BE,GR,BE23,EL61,1212
BG,BE,BG33,BE23,18195
BE,BG,BE23,BG33,18195
XK,BA,XK00,BA01,11906
BA,XK,BA01,XK00,11906
FR,CZ,FRB0,CZ02,368
CZ,FR,CZ02,FRB0,368
IT,CZ,ITC1,CZ02,711
CZ,IT,CZ02,ITC1,711
SE,DE,SE21,DE13,2294
DE,SE,DE13,SE21,2294
ES,AL,ES13,AL03,184
AL,ES,AL03,ES13,184
FI,AL,FI1B,AL03,1908
AL,FI,AL03,FI1B,1908
RS,PL,RS22,PL62,188
