user_country,friend_country,user_region,friend_region,scaled_sci
JO,MM,JO,MM,971
XK,CZ,XK,CZ,7559
CZ,XK,CZ,XK,7559
TZ,ST,TZ,ST,4618
ST,TZ,ST,TZ,4618
SI,CG,SI,CG,543
CG,SI,CG,SI,543
ML,CG,ML,CG,294074
CG,ML,CG,ML,294074
ID,CG,ID,CG,897
CG,ID,CG,ID,897
SL,JM,SL,JM,18748
JM,SL,JM,SL,18748
SR,IE,SR,IE,1269
IE,SR,IE,SR,1269
US,SZ,US,SZ,1180
SZ,US,SZ,US,1180
SB,AL,SB,AL,67
AL,SB,AL,SB,67
PT,CL,PT,CL,4163
CL,PT,CL,PT,4163
RU,NO,RU,NO,12981
NO,RU,NO,RU,12981
CV,AD,CV,AD,28989
AD,CV,AD,CV,28989
KW,AM,KW,AM,6428
AM,KW,AM,KW,6428
TL,GQ,TL,GQ,761
GQ,TL,GQ,TL,761
PG,MD,PG,MD,16
MD,PG,MD,PG,16
TL,MD,TL,MD,67
MD,TL,MD,TL,67
SK,HN,SK,HN,233
HN,SK,HN,SK,233
SN,CA,SN,CA,19704
CA,SN,CA,SN,19704
LY,AT,LY,AT,1842
AT,LY,AT,LY,1842
SD,BH,SD,BH,23442
BH,SD,BH,SD,23442
SE,BG,SE,BG,9279
BG,SE,BG,SE,9279
ZM,BG,ZM,BG,352
BG,ZM,BG,ZM,352
MT,BG,MT,BG,56872
BG,MT,BG,MT,56872
UA,UA,UA,UA,2611748
MX,GH,MX,GH,448
GH,MX,GH,MX,448
MT,BI,MT,BI,597
BI,MT,BI,MT,597
MV,CM,MV,CM,1263
CM,MV,CM,MV,1263
KH,CM,KH,CM,655
CM,KH,CM,KH,655
PL,ER,PL,ER,486
ER,PL,ER,PL,486
GY,CI,GY,CI,1496
CI,GY,CI,GY,1496
NE,LK,NE,LK,883
LK,NE,LK,NE,883
NZ,MN,NZ,MN,1551
MN,NZ,MN,NZ,1551
WS,MZ,WS,MZ,353
MZ,WS,MZ,WS,353
TJ,PL,TJ,PL,4706
PL,TJ,PL,TJ,4706
ZW,MA,ZW,MA,822
MA,ZW,MA,ZW,822
PA,HR,PA,HR,1046
HR,PA,HR,PA,1046
SN,IT,SN,IT,33187
IT,SN,IT,SN,33187
TL,PK,TL,PK,1181
PK,TL,PK,TL,1181
SZ,MT,SZ,MT,2011
MT,SZ,MT,SZ,2011
SN,MT,SN,MT,4510
MT,SN,MT,SN,4510
TZ,EG,TZ,EG,1777
EG,TZ,EG,TZ,1777
ZM,TH,ZM,TH,146
TH,ZM,TH,ZM,146
XK,CH,XK,CH,640438
CH,XK,CH,XK,640438
MZ,CH,MZ,CH,1990
CH,MZ,CH,MZ,1990
SV,CH,SV,CH,2343
CH,SV,CH,SV,2343
GQ,AO,GQ,AO,23775
AO,GQ,AO,GQ,23775
SV,EC,SV,EC,11861
EC,SV,EC,SV,11861
KZ,DJ,KZ,DJ,3390
DJ,KZ,DJ,KZ,3390
MD,BB,MD,BB,511
BB,MD,BB,MD,511
TG,CF,TG,CF,317841
CF,TG,CF,TG,317841
PY,MG,PY,MG,844
MG,PY,MG,PY,844
TR,CZ,TR,CZ,1266
CZ,TR,CZ,TR,1266
MZ,ML,MZ,ML,13662
ML,MZ,ML,MZ,13662
SZ,CG,SZ,CG,7272
CG,SZ,CG,SZ,7272
CH,CG,CH,CG,4807
CG,CH,CG,CH,4807
VC,DK,VC,DK,1474
DK,VC,DK,VC,1474
PY,KG,PY,KG,214
KG,PY,KG,PY,214
UG,LC,UG,LC,4958
LC,UG,LC,UG,4958
TT,IQ,TT,IQ,426
IQ,TT,IQ,TT,426
PA,IQ,PA,IQ,536
IQ,PA,IQ,PA,536
GN,CL,GN,CL,180
CL,GN,CL,GN,180
MU,AM,MU,AM,1773
AM,MU,AM,MU,1773
SB,IS,SB,IS,1669
IS,SB,IS,SB,1669
PH,MW,PH,MW,419
MW,PH,MW,PH,419
MR,LA,MR,LA,102
LA,MR,LA,MR,102
BY,BW,BY,BW,760
BW,BY,BW,BY,760
MX,CY,MX,CY,523
CY,MX,CY,MX,523
TJ,HN,TJ,HN,217
HN,TJ,HN,TJ,217
HT,GR,HT,GR,378
GR,HT,GR,HT,378
RO,CA,RO,CA,4364
CA,RO,CA,RO,4364
ID,AT,ID,AT,530
AT,ID,AT,ID,530
NL,MM,NL,MM,559
MM,NL,MM,NL,559
VN,BO,VN,BO,244
BO,VN,BO,VN,244
FM,DO,FM,DO,421
DO,FM,DO,FM,421
MM,DO,MM,DO,62
DO,MM,DO,MM,62
QA,BI,QA,BI,11437
BI,QA,BI,QA,11437
KH,BI,KH,BI,538
BI,KH,BI,KH,538
GR,CI,GR,CI,530
CI,GR,CI,GR,530
TT,LK,TT,LK,2644
LK,TT,LK,TT,2644
MU,KZ,MU,KZ,3242
KZ,MU,KZ,MU,3242
LC,KH,LC,KH,249
KH,LC,KH,LC,249
SN,OM,SN,OM,3385
OM,SN,OM,SN,3385
GT,AE,GT,AE,406
AE,GT,AE,GT,406
VN,TR,VN,TR,140
TR,VN,TR,VN,140
UZ,TJ,UZ,TJ,693941
TJ,UZ,TJ,UZ,693941
WS,TJ,WS,TJ,313
TJ,WS,TJ,WS,313
EC,BR,EC,BR,2046
BR,EC,BR,EC,2046
WS,EG,WS,EG,126
EG,WS,EG,WS,126
NA,EC,NA,EC,272
EC,NA,EC,NA,272
KG,BS,KG,BS,256
BS,KG,BS,KG,256
MV,FM,MV,FM,3683
FM,MV,FM,MV,3683
SA,BA,SA,BA,1592
BA,SA,BA,SA,1592
GQ,CV,GQ,CV,35067
CV,GQ,CV,GQ,35067
LR,CV,LR,CV,23419
CV,LR,CV,LR,23419
SZ,SK,SZ,SK,69
SK,SZ,SK,SZ,69
TT,LR,TT,LR,6978
LR,TT,LR,TT,6978
KR,KI,KR,KI,2684
KI,KR,KI,KR,2684
JP,BE,JP,BE,2614
BE,JP,BE,JP,2614
LT,DK,LT,DK,50205
DK,LT,DK,LT,50205
SB,KG,SB,KG,1939
KG,SB,KG,SB,1939
NA,JM,NA,JM,14678
JM,NA,JM,NA,14678
SO,RS,SO,RS,590
RS,SO,RS,SO,590
SA,FI,SA,FI,3070
FI,SA,FI,SA,3070
GN,AD,GN,AD,995
AD,GN,AD,GN,995
TH,AD,TH,AD,876
AD,TH,AD,TH,876
BS,AM,BS,AM,840
AM,BS,AM,BS,840
TT,AM,TT,AM,788
AM,TT,AM,TT,788
HU,AM,HU,AM,2209
AM,HU,AM,HU,2209
CZ,AM,CZ,AM,6054
AM,CZ,AM,CZ,6054
DJ,BT,DJ,BT,619
BT,DJ,BT,DJ,619
GA,CR,GA,CR,454
CR,GA,CR,GA,454
CY,CR,CY,CR,1286
CR,CY,CR,CY,1286
UY,IS,UY,IS,2280
IS,UY,IS,UY,2280
UZ,MW,UZ,MW,579
MW,UZ,MW,UZ,579
UG,MW,UG,MW,37624
MW,UG,MW,UG,37624
SA,MW,SA,MW,2391
MW,SA,MW,SA,2391
VC,TG,VC,TG,5637
TG,VC,TG,VC,5637
MU,HU,MU,HU,1851
HU,MU,HU,MU,1851
OM,HU,OM,HU,1202
HU,OM,HU,OM,1202
MM,HU,MM,HU,278
HU,MM,HU,MM,278
MG,GB,MG,GB,423
GB,MG,GB,MG,423
NO,HN,NO,HN,449
HN,NO,HN,NO,449
MR,DE,MR,DE,2348
DE,MR,DE,MR,2348
IL,DE,IL,DE,12941
DE,IL,DE,IL,12941
NE,AT,NE,AT,503
AT,NE,AT,NE,503
GH,BF,GH,BF,76423
BF,GH,BF,GH,76423
LR,BO,LR,BO,696
BO,LR,BO,LR,696
CY,BO,CY,BO,567
BO,CY,BO,CY,567
PE,DO,PE,DO,6457
DO,PE,DO,PE,6457
SK,BG,SK,BG,14624
BG,SK,BG,SK,14624
TH,LY,TH,LY,142
LY,TH,LY,TH,142
FM,CM,FM,CM,288
CM,FM,CM,FM,288
UZ,ER,UZ,ER,475
ER,UZ,ER,UZ,475
PK,LK,PK,LK,2068
LK,PK,LK,PK,2068
UG,NL,UG,NL,12056
NL,UG,NL,UG,12056
RO,KH,RO,KH,152
KH,RO,KH,RO,152
NZ,CO,NZ,CO,1704
CO,NZ,CO,NZ,1704
SL,MY,SL,MY,1373
MY,SL,MY,SL,1373
NA,MY,NA,MY,568
MY,NA,MY,NA,568
MD,FJ,MD,FJ,64
FJ,MD,FJ,MD,64
HT,AR,HT,AR,1237
AR,HT,AR,HT,1237
RU,AR,RU,AR,3427
AR,RU,AR,RU,3427
JP,IT,JP,IT,3147
IT,JP,IT,JP,3147
MR,IT,MR,IT,2318
IT,MR,IT,MR,2318
US,IT,US,IT,3606
IT,US,IT,US,3606
KG,FR,KG,FR,1061
FR,KG,FR,KG,1061
GM,FR,GM,FR,14635
FR,GM,FR,GM,14635
IE,FR,IE,FR,9954
FR,IE,FR,IE,9954
IT,FR,IT,FR,13996
FR,IT,FR,IT,13996
RO,LB,RO,LB,4045
LB,RO,LB,RO,4045
TL,ES,TL,ES,618
ES,TL,ES,TL,618
PK,CH,PK,CH,1910
CH,PK,CH,PK,1910
MU,IN,MU,IN,6626
IN,MU,IN,MU,6626
PY,EC,PY,EC,11785
EC,PY,EC,PY,11785
LV,GD,LV,GD,881
GD,LV,GD,LV,881
RW,FM,RW,FM,736
FM,RW,FM,RW,736
PH,JO,PH,JO,3219
JO,PH,JO,PH,3219
MM,CZ,MM,CZ,447
CZ,MM,CZ,MM,447
LV,LC,LV,LC,667
LC,LV,LC,LV,667
SS,JM,SS,JM,2947
